1638144000.0,0.71100000,0.71683000,0.71100000,0.71500000,1641555.00000000,1638144059999,1172032.70336000,1919,876132.00000000,625267.36860000,0
1638144060.0,0.71557000,0.72000000,0.71100000,0.71734000,3445873.00000000,1638144119999,2471836.20558000,2954,2303239.00000000,1653085.22197000,0
1638144120.0,0.71731000,0.72071000,0.71352000,0.71853000,3223224.00000000,1638144179999,2313416.41424000,3567,1715009.00000000,1231820.10133000,0
1638144180.0,0.71852000,0.71998000,0.71661000,0.71849000,891873.00000000,1638144239999,640674.34756000,1044,417143.00000000,299693.19064000,0
1638144240.0,0.71898000,0.72099000,0.71793000,0.71951000,997421.00000000,1638144299999,717726.31717000,1405,585295.00000000,421234.07375000,0
1638144300.0,0.71983000,0.72050000,0.71120000,0.71560000,1545619.00000000,1638144359999,1106492.23555000,2059,594204.00000000,425515.20851000,0
1638144360.0,0.71584000,0.72025000,0.71527000,0.71645000,867840.00000000,1638144419999,622856.00536000,958,400819.00000000,287956.83428000,0
1638144420.0,0.71680000,0.71800000,0.71500000,0.71677000,1043196.00000000,1638144479999,746631.70348000,890,318714.00000000,228291.41219000,0
1638144480.0,0.71674000,0.71731000,0.71523000,0.71638000,1032239.00000000,1638144539999,739292.12405000,887,341873.00000000,244902.99238000,0
1638144540.0,0.71636000,0.71989000,0.71500000,0.71984000,985277.00000000,1638144599999,705531.23303000,870,343667.00000000,246250.00601000,0
1638144600.0,0.71984000,0.72258000,0.71797000,0.72246000,1680448.00000000,1638144659999,1210490.05096000,2190,1032431.00000000,743828.48550000,0
1638144660.0,0.72247000,0.72900000,0.72124000,0.72880000,3808792.00000000,1638144719999,2766895.71514000,7605,2251080.00000000,1635190.73454000,0
1638144720.0,0.72878000,0.73250000,0.72762000,0.73197000,2561987.00000000,1638144779999,1869670.30152000,4450,1643221.00000000,1199367.70785000,0
1638144780.0,0.73197000,0.73577000,0.73088000,0.73564000,3265162.00000000,1638144839999,2395037.63708000,3853,1666220.00000000,1222580.30857000,0
1638144840.0,0.73544000,0.74000000,0.73409000,0.73878000,2550160.00000000,1638144899999,1880821.63318000,4288,1838937.00000000,1357062.84958000,0
1638144900.0,0.73874000,0.74146000,0.73501000,0.73954000,2631651.00000000,1638144959999,1943921.01286000,6470,1368160.00000000,1011377.23533000,0
1638144960.0,0.73954000,0.74350000,0.73941000,0.74345000,1876974.00000000,1638145019999,1392595.70473000,2637,1213236.00000000,900166.42892000,0
1638145020.0,0.74341000,0.74500000,0.74179000,0.74380000,3469637.00000000,1638145079999,2580467.51229000,2979,1492975.00000000,1110657.65169000,0
1638145080.0,0.74380000,0.74500000,0.73500000,0.73650000,4434219.00000000,1638145139999,3283812.27231000,3825,1149344.00000000,850271.30241000,0
1638145140.0,0.73652000,0.73696000,0.72932000,0.73250000,3741607.00000000,1638145199999,2739079.57135000,3675,1978740.00000000,1448252.43062000,0
1638145200.0,0.73286000,0.73453000,0.72798000,0.72847000,1511962.00000000,1638145259999,1106128.37697000,1465,419247.00000000,307112.69301000,0
1638145260.0,0.72856000,0.73111000,0.72728000,0.72947000,1379121.00000000,1638145319999,1005993.32275000,1849,707525.00000000,516120.94930000,0
1638145320.0,0.72956000,0.73011000,0.72890000,0.72999000,1159670.00000000,1638145379999,846025.36754000,888,666502.00000000,486394.27053000,0
1638145380.0,0.73000000,0.73288000,0.72982000,0.73028000,1800380.00000000,1638145439999,1316120.65910000,1406,1178402.00000000,861312.61319000,0
1638145440.0,0.73030000,0.73139000,0.72864000,0.72868000,1142731.00000000,1638145499999,833707.73204000,885,383320.00000000,279764.68944000,0
1638145500.0,0.72864000,0.73440000,0.72667000,0.73371000,1701425.00000000,1638145559999,1242215.27891000,1812,1020570.00000000,745124.45157000,0
1638145560.0,0.73374000,0.73955000,0.73350000,0.73675000,1995336.00000000,1638145619999,1470935.34923000,2114,1022308.00000000,753498.38038000,0
1638145620.0,0.73663000,0.73879000,0.73214000,0.73639000,1194089.00000000,1638145679999,878331.47399000,1308,528858.00000000,389131.92395000,0
1638145680.0,0.73609000,0.73939000,0.73511000,0.73573000,1507275.00000000,1638145739999,1111590.60195000,1253,803327.00000000,592582.58955000,0
1638145740.0,0.73632000,0.73787000,0.73500000,0.73546000,963902.00000000,1638145799999,709853.49020000,959,501757.00000000,369675.10305000,0
1638145800.0,0.73515000,0.73532000,0.72723000,0.72891000,2747066.00000000,1638145859999,2006216.88102000,2260,895064.00000000,653700.60291000,0
1638145860.0,0.72857000,0.73253000,0.72812000,0.73253000,749871.00000000,1638145919999,547634.46124000,830,489503.00000000,357565.37112000,0
1638145920.0,0.73228000,0.73258000,0.72800000,0.73008000,784824.00000000,1638145979999,572966.39585000,848,364460.00000000,266134.68441000,0
1638145980.0,0.73008000,0.73350000,0.72826000,0.73064000,1194084.00000000,1638146039999,872382.09465000,1045,469516.00000000,343088.74798000,0
1638146040.0,0.73052000,0.73300000,0.72900000,0.73022000,1131234.00000000,1638146099999,826507.62820000,1061,695363.00000000,508206.91924000,0
1638146100.0,0.72994000,0.73092000,0.72525000,0.72560000,1695412.00000000,1638146159999,1234064.81737000,1526,592758.00000000,431492.76926000,0
1638146160.0,0.72560000,0.72792000,0.72300000,0.72352000,1895272.00000000,1638146219999,1375752.02098000,1726,801205.00000000,581862.83342000,0
1638146220.0,0.72352000,0.72582000,0.72115000,0.72340000,1530459.00000000,1638146279999,1107695.43912000,1755,671541.00000000,486149.41625000,0
